Title	Date	Venue	Partners	Description	Series	SDGs	Concept Note	YouTube Link	Theme	Image																																																																																																																																																																																																																																																																															
SDGs in Practice Opening Segment	14-Jul-25	"CR11, UNHQ"	UNITAR	"The opening session of the 2025 SDGs in Practice will be held in person on 14 July from 11:00 AM to1:00 PM (Conference Room 11). This session will focus on advancing capacities and providing learning opportunities to support the HLPF 2025 theme: �Advancing sustainable, inclusive, scienceand evidence-based solutions for the 2030 Agenda for Sustainable Development and its Sustainable Development Goals for leaving no one behind�."	2025		https://sdgs.un.org/sites/default/files/2025-07/2025%20SDGs%20in%20Practice%20Opening%20-%20Concept%20Note%20Final.pdf	https://cdnapisec.kaltura.com/p/2503451/embedPlaykitJs/uiconf_id/49754663?iframeembed=true&entry_id=1_r8xg89it																																																																																																																																																																																																																																																																																	
From HIV to Health for All: Accelerating SDG 3 Through Practical Partnerships and Solutions	14-Jul-25	Virtual	"UNAIDS, WHO, UNICEF, UNDP, UNFPA, UN Women"	"Focusing on universal health coverage, this session addressed stalled progress in maternal health and immunization, rising NCDs and mental health burdens, and persistent inequalities�especially for women and girls. Convened by UNAIDS in collaboration with WHO, UNICEF, UNDP, UNFPA and UN Women, the discussion moved from diagnosis to action, sharing scalable cross_sector tools and partnership models grounded in Voluntary National Review (VNR) / UN Sustainable Development Cooperation Framework (UNSDCF) evidence. Participants, including governments, civil society, communities, and UN actors, explored how gender_responsive health systems and integrated approaches can accelerate progress on SDG 3 in the final stretch to 2030."	2025	3	https://sdgs.un.org/sites/default/files/2025-07/Accelerating%20SDG%203-%20Practical%20Solutions%20and%20Partnerships%20for%20Health%20and%20Well-being.pdf 	https://youtu.be/oBMtaPj4N_w 																																																																																																																																																																																																																																																																																	
Accelerating progress on SDG 5	15-Jul-25	Virtual	UNWOMEN	"Led by UN Women, this interactive session brought together experts, practitioners, and advocates to examine how best to advance gender equality and empower women and girls. The session provided a platform to share the latest data, promising practices, and brainstorm on realistic pathways to accelerate progress on Sustainable Development Goal (SDG) 5. Drawing on the Regional Forums on Sustainable Development momentum and Beijing+30, the session used presentations, breakout rooms, and peer learning to surface innovations, practices, and tools that mainstream gender across policies and financing. It equipped a broad audience with practical pathways to accelerate transformative, intersectional progress."	2025	5	https://sdgs.un.org/sites/default/files/2025-07/Accelerating%20progress%20on%20SDG%205_0.pdf 	https://youtu.be/39Vtinrpwa4 																																																																																																																																																																																																																																																																																	
Green Growth and Resilience Building 15-Jul-25	Virtual	"CANEUS, Inspire 4 Tomorrow Foundation, FILAC and Pawanka Fund"	"Against the triple planetary crisis and ongoing shocks, this session explored embedding green growth and resilience transitions into national policies, industry practice, and community action. Themes included STI_driven transformation, resilient infrastructure and nature_based solutions, financing mechanisms, and multi_stakeholder partnerships. Participants were introduced to tools and methodologies�such as the Enhanced Voluntary Local Review for Green Growth and Resilient Transition (UN DESA) and Re�Planet Ecosystem Country-led Implementation Model �and case studies to support inclusive, climate_aligned development."	2025	13	https://sdgs.un.org/sites/default/files/2025-06/Green%20Growth%20and%20Resilience%20Building.pdf 	https://youtu.be/AMRXhEAViWc 																																																																																																																																																																																																																																																																																	
A Sustainable Blue Planet: Protecting, Innovating and Educating 16-Jul-25   Virtual "Oceano Azul Foundation, Ocean�rio de Lisboa"	"This ocean_focused session highlighted urgent actions to scale marine protected areas (toward 30x30), advance a regenerative blue economy (e.g., blue biotechnology), elevate ocean issues in global agendas (including BBNJ ratification and ocean NDCs), and embed ocean literacy via a �Blue Curriculum.� Tools and examples included Blue Azores, BlueBioValue, the UN_Portugal Ocean Fellowship, the RISE UP movement, and Educating a Blue Generation. It connected conservation, livelihoods, education, and advocacy to accelerate SDG 14."	2025    14  https://sdgs.un.org/sites/default/files/2025-06/A%20Sustainable%20Blue%20Planet_0.pdf   https://youtu.be/yNQXD4UzCwc																																																																																																																																																																																																																																																																																	
Inclusive Policies and Stakeholder Engagement for the 2030 Agenda	17-Jul-25	Virtual International Disability Alliance (IDA), Commonwealth Medical Trust (Commat), Women's Major Group (WMG) Addressing the gap between inclusion rhetoric and practice, this session showcased concrete ways to embed marginalized voices, especially persons with disabilities and women into SDG policy cycles and VNRs. Solutions spanned community_led data and shadow reporting, accessible consultation frameworks (IDA/WMG), capacity_building (Commat), and collaboration models that improve accountability. Interactive elements (polling, shared tools) supported participants to adapt inclusive methodologies within national contexts.    2025    17  https://sdgs.un.org/sites/default/files/2025-06/Inclusive%20Policies%20and%20Stakeholder%20Engagement%20for%20the%202030%20Agenda.pdf 	https://youtu.be/HlhWimCsX-U 																																																																																																																																																																																																																																																																																	
Building country capacity for multi-stakeholder partnerships	17-Jul-25	Virtual	"RCO Mexico, The Partnering Initiative"	"Focusing on country_level delivery of SDG 17, this session provided practical tools�developed through the Partnership Accelerator and field experience (e.g., Mexico, Sri Lanka)�to strengthen professional partnering capabilities and trust_based collaboration. Featured tools included national partnership landscape mapping, guidance on running National Partnership Forums, and partnership ideation workshops to build momentum and co_create solutions. Format blended frameworks, fireside chats with RCO experts, and breakouts."	2025	17	https://sdgs.un.org/sites/default/files/2025-07/Building%20country%20capacity%20for%20multi-stakeholder%20partnerships%20.pdf 	https://youtu.be/i0vtm9eW6Dc 																																																																																																																																																																																																																																																																																	
Strategic Foresight for Sustainable Development: Future-proofing Policy and Partnerships	18-Jul-25	Virtual	No	"This training demonstrated how World Population Prospects (WPP) and World Economic Situation and Prospects (WESP) can shift planning from reactive to proactive. Through videos, expert presentations, and Q&A, participants learned to apply demographic and economic projections to workforce planning, social protection, macroeconomic stability, and sustainable growth. UN DESA�s broader Future in Focus offerings were highlighted as a consolidated foresight toolkit for Member States."	2025	17	https://sdgs.un.org/sites/default/files/2025-07/Strategic%20Foresight%20for%20Sustainable%20Development.pdf 	https://youtu.be/pcb9dWlTRPk 																																																																																																																																																																																																																																																																																	
Accelerating SDG 8: Investing in Decent Jobs and Just Transitions Through the Global Accelerator	18-Jul-25	Virtual	"ILO, partners of the Global Accelerator on Jobs and Social Protection for Just Transitions (GA) and its Technical Support Facility (FAO, UNDP, UNICEF, UN Women, WFP)"	"Amid uneven SDG 8 progress, this session spotlighted the Global Accelerator on Jobs and Social Protection for Just Transitions�one of the 12 High Impact Initiatives of the 2023 SDG Summit�as a vehicle to fast_track decent work and universal social protection. It covered integrated policy/financing solutions via the Technical Support Facility, showcased pathfinder country experiences (18 committed) and donor backing (Belgium, Germany, Ireland, Korea, Spain), and emphasized rights_based, coherent action linking jobs, protection, and just transitions."	2025	8	https://sdgs.un.org/sites/default/files/2025-06/Accelerating%20SDG%208.pdf 	https://youtu.be/HlhWimCsX-U 																																																																																																																																																																																																																																																																																	
Investing in multi-stakeholder Partnerships for the SDGs	22-Jul-25	Virtual	"RCO Mexico, The Partnering Initiative"	"Building on the Unite to Ignite study, this session examined why multi-stakeholder partnerships need financing approaches distinct from traditional projects and how funders can invest both in partnerships and the enabling environment (policies, institutional capacities, engagement mechanisms). It guided donors, foundations, development banks, companies, and governments on who funds, what instruments (grants, finance, blended), how to structure support for adaptive, collective impact, and what internal changes funders need to become effective multi-stakeholder partnership backers. A Mexico case illustrated investing in partnership infrastructure and capacities."	2025	17	https://sdgs.un.org/sites/default/files/2025-07/Investing%20in%20multi-stakeholder%20Partnerships%20for%20the%20SDGs_0.pdf 	https://youtu.be/Z-f-FeoeLuQ 																																																																																																																																																																																																																																																																																	
